experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_187,fedprox,heart,dirichlet,3,10.0,true,0.3,0.8624390243902439,0.9214779368623178,10
exp_188,fedprox,heart,dirichlet,3,1.0,true,0.3,0.8448780487804878,0.9251925905042024,10
exp_189,fedprox,heart,dirichlet,5,10.0,true,0.3,0.84,0.9266708321586139,10
exp_190,fedprox,heart,dirichlet,5,1.0,true,0.3,0.5131707317073171,0.8568772526040673,10
exp_191,fedprox,heart,dirichlet,10,10.0,true,0.3,0.6653658536585366,0.8808834398835695,10
exp_192,fedprox,heart,dirichlet,10,1.0,true,0.3,0.7980487804878049,0.90285513993767,10
exp_193,fedprox,heart,dirichlet,3,10.0,true,0.5,0.8585365853658536,0.9267051212691544,10
exp_194,fedprox,heart,dirichlet,3,1.0,true,0.5,0.5131707317073171,0.8093144463832609,10
exp_195,fedprox,heart,dirichlet,5,10.0,true,0.5,0.8321951219512195,0.9064440668409063,10
exp_196,fedprox,heart,dirichlet,5,1.0,true,0.5,0.6839024390243903,0.9007901735028994,10
exp_197,fedprox,heart,dirichlet,10,10.0,true,0.5,0.7873170731707317,0.8564810228822665,10
exp_198,fedprox,heart,dirichlet,10,1.0,true,0.5,0.5160975609756098,0.724605103743609,10
exp_199,fedprox,heart,dirichlet,3,10.0,false,0.0,0.8604878048780488,0.9365651455001258,10
exp_200,fedprox,heart,dirichlet,3,1.0,false,0.0,0.8663414634146341,0.9391025396801207,10
exp_201,fedprox,heart,dirichlet,5,10.0,false,0.0,0.8341463414634146,0.9232571607092512,10
exp_202,fedprox,heart,dirichlet,5,1.0,false,0.0,0.7892682926829269,0.9146696434694483,10
exp_203,fedprox,heart,dirichlet,10,10.0,false,0.0,0.8380487804878048,0.9261069667852816,10
exp_204,fedprox,heart,dirichlet,10,1.0,false,0.0,0.5980487804878049,0.891417816621837,10
exp_205,fedprox,heart,dirichlet,3,10.0,false,0.3,0.8546341463414634,0.9362032048888653,10
exp_206,fedprox,heart,dirichlet,3,1.0,false,0.3,0.8663414634146341,0.9376319178280516,10
exp_207,fedprox,heart,dirichlet,5,10.0,false,0.3,0.8595121951219512,0.9299702065728416,10
exp_208,fedprox,heart,dirichlet,5,1.0,false,0.3,0.4868292682926829,0.8859925173540998,10
exp_209,fedprox,heart,dirichlet,10,10.0,false,0.3,0.7863414634146342,0.8818930636939278,10
exp_210,fedprox,heart,dirichlet,10,1.0,false,0.3,0.7765853658536586,0.874726639590969,10
exp_211,fedprox,heart,dirichlet,3,10.0,false,0.5,0.84,0.9308769630515784,10
exp_212,fedprox,heart,dirichlet,3,1.0,false,0.5,0.6282926829268293,0.9264079489778035,10
exp_213,fedprox,heart,dirichlet,5,10.0,false,0.5,0.8565853658536585,0.931958974984189,10
exp_214,fedprox,heart,dirichlet,5,1.0,false,0.5,0.8419512195121951,0.9294063411995093,10
